[2026-07-10T20:38:56.831Z] GET https://arrelit0.github.io/?v=bugcheck → pending (?ms, ?B)
[2026-07-10T20:38:59.667Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,500;0,700;1,500&family=Oswald:wght@400;500&family=Lora:ital@0;1&display=swap → 200 (43ms, 18520B)
[2026-07-10T20:38:59.667Z] GET https://static.wixstatic.com/media/68b77e_2b86731d9f964475ac87d312d43bfe4f~mv2.png → 200 (79ms, 124117B)
[2026-07-10T20:38:59.667Z] GET https://static.wixstatic.com/media/68b77e_b0f33e0892bb48a88f4c221d24dc51c8~mv2.jpeg/v1/fit/w_1600,h_1200,q_90,enc_jpg/photo.jpg → 200 (79ms, 285660B)
[2026-07-10T20:38:59.745Z] GET https://fonts.gstatic.com/s/lora/v37/0QI8MX1D_JOuMw_hLdO6T2wV9KnW-MoFoq92nA.woff2 → 200 (88ms, 22756B)
[2026-07-10T20:38:59.745Z] GET https://fonts.gstatic.com/s/oswald/v57/TK3IWkUHHAIjg75cFRf3bXL8LICs1_Fv40pKlN4NNSeSASz7FmlWHYg.woff2 → 200 (82ms, 21472B)
[2026-07-10T20:38:59.745Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgA.woff2 → 200 (89ms, 38404B)
[2026-07-10T20:38:59.745Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFRD-vYSZviVYUb_rj3ij__anPXDTnCjmHKM4nYO7KN_pqTXtHA-Q.woff2 → 200 (80ms, 23076B)
[2026-07-10T20:38:59.746Z] GET https://fonts.gstatic.com/s/lora/v37/0QI6MX1D_JOuGQbT0gvTJPa787weuxJBkq0.woff2 → 200 (82ms, 21148B)
[2026-07-10T20:38:59.746Z] GET https://static.wixstatic.com/media/68b77e_4392eda6fe814d2aa0f2ae86eebf78d6~mv2.jpeg/v1/fit/w_1600,h_1200,q_90,enc_jpg/photo.jpg → 200 (39ms, 215849B)
[2026-07-10T20:38:59.746Z] GET https://arrelit0.github.io/assets/cut-2.jpg → 200 (147ms, 219655B)
[2026-07-10T20:38:59.746Z] GET https://static.wixstatic.com/media/68b77e_ac9ec5eee2f54eb091bd8c4c1123d050~mv2.jpeg/v1/fit/w_1600,h_1200,q_90,enc_jpg/photo.jpg → 200 (74ms, 219520B)
[2026-07-10T20:38:59.746Z] GET https://static.wixstatic.com/media/68b77e_db50bbd673f443bd9325655878a2869c~mv2.jpeg/v1/fit/w_1600,h_1200,q_90,enc_jpg/photo.jpg → 200 (30ms, 188064B)
[2026-07-10T20:39:00.937Z] GET https://static.wixstatic.com/media/68b77e_a93700e7466d4be6a08e57f558f1063d~mv2.jpg/v1/fit/w_600,h_600,q_90,enc_jpg/p.jpg → 200 (165ms, 115994B)
[2026-07-10T20:39:00.937Z] GET https://static.wixstatic.com/media/68b77e_a87232420753442c90b4c26deeefb44d~mv2.jpg/v1/fit/w_600,h_600,q_90,enc_jpg/p.jpg → 200 (165ms, 123300B)
[2026-07-10T20:39:00.937Z] GET https://static.wixstatic.com/media/68b77e_f82c5133f8364362b874d694943f356d~mv2.jpg/v1/fit/w_600,h_600,q_90,enc_jpg/p.jpg → 200 (165ms, 121618B)
[2026-07-10T20:39:00.937Z] GET https://static.wixstatic.com/media/68b77e_2c6cc6be17b247879b7417d43ecdc13a~mv2.jpg/v1/fit/w_600,h_600,q_90,enc_jpg/p.jpg → 200 (165ms, 90495B)
